@relation 's5'

@attribute attrib1 numeric
@attribute attrib2 numeric
@attribute attrib3 numeric
@attribute class {0.000000000000000000e+00,1.000000000000000000e+00}

@data
-2.045668968983001434e+00,-3.032153128483438209e+00,7.031964930272915915e+00,0.000000000000000000e+00
-2.989629399677192101e+00,-1.497101869368206772e+00,1.070777164560042127e+00,0.000000000000000000e+00
4.943467412379733972e+00,-8.991339084842795426e-01,3.626396820231890139e+00,1.000000000000000000e+00
-1.278338326136047920e+00,1.543761340125751680e+01,6.023311469217245140e+00,0.000000000000000000e+00
-2.524148859896233166e+00,2.208046679002265034e+00,3.174044140233747591e+00,0.000000000000000000e+00
-1.130658585902306168e+00,-1.523129444011166234e+00,8.045388670936752362e+00,0.000000000000000000e+00
4.353686522873881692e+00,5.129863266044183412e+00,7.988278843556382292e+00,1.000000000000000000e+00
2.427648229113035683e+00,-4.782213768316659674e+00,3.520144828443479312e+00,1.000000000000000000e+00
1.819577012512628045e+00,7.913790658982433612e+00,7.285535801572900816e+00,1.000000000000000000e+00
4.949481853203062443e+00,1.531067013205908989e+00,4.011313955369965711e+00,1.000000000000000000e+00
-2.464700375226720030e+00,5.814052253156991590e-01,6.226498775325026713e+00,0.000000000000000000e+00
-1.731229566221096916e-01,-1.743272774888275700e+00,4.289894262320123275e+00,0.000000000000000000e+00
-7.099882382445600548e+00,1.618192665015403486e+00,9.817823527857049370e+00,0.000000000000000000e+00
1.361413039774044265e+01,-9.555804826478723868e+00,8.956564642416847022e+00,1.000000000000000000e+00
-5.709061270274363942e+00,-8.077331255443318980e+00,5.544872073165652893e+00,0.000000000000000000e+00
2.511587368102233597e+00,-1.855271904697451402e-01,3.181488863722316651e+00,1.000000000000000000e+00
-1.835693376542346877e+00,-8.355794477842855283e-02,4.836137663280825727e+00,0.000000000000000000e+00
2.450975515304476104e+00,-4.799537064215757987e+00,2.591610636450270011e+00,1.000000000000000000e+00
9.298757328064905181e+00,8.607293107265107324e+00,4.245353272091607622e+00,1.000000000000000000e+00
-8.449483604871479425e-01,-8.258771470523931235e-01,4.816252219998615303e+00,0.000000000000000000e+00
-2.745904692496702104e+00,2.458606547998366636e-03,6.100344817883812887e+00,0.000000000000000000e+00
3.297410900971126768e+00,-2.386293430281797523e+00,5.391738351039971455e+00,1.000000000000000000e+00
-8.646702639708098159e-01,1.921800968200854998e+00,9.388619214676676705e+00,0.000000000000000000e+00
4.414225209479920586e+00,5.479745011022657764e+00,9.109352747869978728e+00,1.000000000000000000e+00
3.624121688841613231e+00,5.152884346352895939e+00,6.435799254684420490e+00,1.000000000000000000e+00
7.344404834373960078e+00,-8.756296735029668099e+00,2.803351952499941291e+00,1.000000000000000000e+00
-4.749138304421284928e+00,6.554509189699046168e+00,4.199846913250124381e+00,0.000000000000000000e+00
4.483002978309883702e+00,-2.338331531406411923e+00,9.645876161983370167e+00,1.000000000000000000e+00
1.283225712715289069e+00,-3.411504639926046245e+00,9.052307553881094648e+00,1.000000000000000000e+00
